ingredient,dii_score,matched_nutrients,total_nutrients,match_percentage,general people inflammation,Sam inflammation,Andrea inflammation,10:0,12:0,14:0,16:0,16:1,18:0,18:1,18:2,18:3,18:4,20:1,20:4,20:5 n-3,22:1,22:5 n-3,22:6 n-3,4:0,6:0,8:0,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total",Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,"Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,Vitamin C,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,Zinc
"Babyfood, cereal, barley, dry fortified",-53.0349,26,65,40.0,-53.0349,-49.0889,-50.6701,0.0,0.002,0.007,0.602,0.22,0.283,1.226,3.543,0.316,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,69.4,0.0,0.0,0.0,45.4,0.467,0.0,376.0,1.45,3.859,0.894,6.6,287.0,23.0,179.0,156.0,48.21,170.0,0.0,115.0,14.28,333.0,467.0,13.2,0.0,1.07,30.2,33.0,13.2,0.0,0.892,6.6,0.0,0.8,0.8,0.714,58.3,7.1,5.0,4.87,2.3,6.8,3.13
"Babyfood, cereal, oatmeal, dry fortified",-66.0968,26,65,40.0,-66.0968,-61.2856,,0.0,0.001,0.014,0.742,0.008,0.066,1.518,1.69,0.057,0.0,0.031,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,73.48,0.0,0.0,0.0,27.0,0.419,0.0,394.0,1.564,1.748,0.841,7.3,396.0,35.0,247.0,212.0,64.1,185.0,0.0,110.0,21.348,506.0,549.0,10.99,0.0,1.586,23.4,21.0,11.67,0.0,1.431,6.36,0.0,0.8,0.8,0.853,58.3,12.7,12.23,11.78,1.4,4.56,12.68
"Babyfood, cereal, rice, dry fortified",-19.5696,26,65,40.0,-19.5696,-18.4772,-18.2033,0.0,0.0,0.009,0.178,0.001,0.032,0.207,0.363,0.029,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,83.14,0.0,0.0,0.0,18.0,0.231,0.0,390.0,0.42,0.784,0.234,1.3,396.0,35.0,247.0,212.0,53.01,0.0,0.0,37.0,23.006,273.0,281.0,6.65,0.0,1.459,5.0,32.0,4.85,0.0,1.195,2.19,0.0,0.8,0.8,0.885,58.3,8.5,5.0,4.89,0.5,5.13,10.92
"Babyfood, cookies",36.4374,26,65,40.0,36.4374,33.4634,37.971,0.055,0.057,0.267,1.142,0.119,0.595,5.851,2.847,0.031,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.081,0.022,0.025,0.0,0.0,101.0,67.1,0.0,1.0,12.0,28.3,0.074,0.0,433.0,5.99,2.878,2.352,0.2,145.0,19.0,93.0,74.0,4.18,9.0,0.0,49.0,15.966,179.0,501.0,11.8,6.0,3.229,17.2,300.0,24.2,0.0,1.459,13.2,6.0,0.46,0.0,5.899,7.0,0.0,0.46,0.0,1.1,5.9,1.1
"Babyfood, GERBER, GRADUATES Lil Biscuits Vanilla Wheat",22.4442,26,65,40.0,22.4442,,21.5402,0.003,0.002,0.011,0.446,0.014,0.208,6.386,1.327,0.213,0.0,0.137,0.0,0.003,0.004,0.0,0.0,0.01,0.0,0.002,0.0,0.0,1278.0,72.48,6.0,13.0,7.0,33.8,0.201,0.0,407.0,6.559,1.55,0.81,5.9,69.0,20.0,49.0,29.0,18.87,169.0,0.0,63.0,3.647,186.0,318.0,7.97,27.0,0.387,5.3,259.0,24.9,0.0,0.323,9.27,28.0,0.07,0.0,0.16,9.1,0.5,0.46,0.0,14.2,5.83,14.15
Zwieback,51.1912,26,65,40.0,51.1912,54.4365,52.2259,0.077,0.088,0.314,1.194,0.129,0.59,4.104,2.007,0.065,0.0,0.012,0.001,0.0,0.0,0.0,0.0,0.1,0.059,0.035,0.0,0.0,20.0,74.2,0.0,4.0,8.0,10.7,0.145,1.0,426.0,4.244,2.073,2.525,2.5,134.0,20.0,87.0,67.0,0.6,16.0,0.0,14.0,1.319,55.0,305.0,10.1,15.0,0.239,28.7,227.0,12.5,0.0,0.208,9.7,16.0,0.0,0.0,0.082,5.3,0.0,2.44,2.32,0.9,4.5,0.54
"Babyfood, dessert, custard pudding, vanilla, junior",13.0172,26,65,40.0,13.0172,13.0145,13.6199,0.002,0.001,0.009,0.222,0.03,0.078,0.331,0.108,0.004,0.0,0.003,0.013,0.0,0.0,0.0,0.003,0.003,0.0,0.001,0.0,0.0,54.0,17.58,1.0,1.0,38.0,29.9,0.01,1.0,86.0,0.364,0.128,0.325,0.2,6.0,6.0,6.0,0.0,0.22,39.0,0.0,5.0,0.076,55.0,68.0,1.76,13.0,0.054,2.4,26.0,12.2,0.0,0.012,0.98,13.0,0.23,0.0,0.03,0.4,0.5,0.09,0.0,0.0,79.31,0.3
"Babyfood, snack, GERBER, GRADUATES, YOGURT MELTS",-23.3827,26,65,40.0,-23.3827,,-21.6888,0.095,0.103,0.321,1.031,0.06,0.439,0.873,0.139,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.062,0.043,0.0,0.0,457.0,71.82,0.0,686.0,0.0,78.0,0.092,122.0,380.0,0.968,0.194,2.236,2.3,55.0,55.0,55.0,0.0,0.0,294.0,0.0,53.0,3.301,382.0,714.0,14.29,45.0,0.817,11.8,286.0,57.14,0.0,0.113,4.0,107.0,1.7,0.0,0.168,57.1,0.1,6.43,6.18,12.2,6.0,1.77
"Infant formula, MEAD JOHNSON, PREGESTIMIL, with iron, powder, with ARA and DHA, not reconstituted",-175.1443,26,65,40.0,-175.1443,-167.3543,-187.9624,4.1,0.03,0.03,1.2,0.0,0.42,3.9,4.7,0.48,0.0,0.03,0.17,0.0,0.0,0.0,0.085,0.0,0.0,10.6,0.0,0.0,470.0,52.2,0.0,0.0,2.0,120.0,0.38,0.0,517.0,3.9,6.2,16.5,0.0,136.0,0.0,80.0,80.0,9.0,0.0,0.0,40.0,5.0,260.0,550.0,14.0,530.0,0.45,14.0,240.0,51.0,0.0,0.4,28.0,530.0,1.5,1.5,0.3,60.0,6.3,13.4,13.4,60.0,2.6,5.0
"Infant formula, ABBOTT NUTRITION, SIMILAC, PM 60/40, powder not reconstituted",-134.7259,26,65,40.0,-134.7259,,,0.618,4.843,1.974,3.105,0.028,0.835,5.157,10.456,0.379,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.769,0.0,0.0,288.0,54.94,0.0,0.0,17.0,61.6,0.462,0.0,524.0,5.242,10.835,12.214,0.0,131.0,0.0,77.0,77.0,3.5,0.0,0.0,31.0,5.392,144.0,411.0,11.4,462.0,0.77,9.8,123.0,52.38,0.0,0.514,28.71,462.0,1.28,1.28,0.308,46.2,7.7,8.61,8.61,41.1,2.25,3.85
"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN WITH LGG, with iron, powder, not reconstituted, with ARA and DHA",-142.1765,26,65,40.0,-142.1765,,-146.3314,0.32,2.4,1.05,5.9,0.04,1.07,9.2,4.3,0.4,0.0,0.04,0.172,0.0,0.0,0.0,0.086,0.0,0.04,0.43,0.0,0.0,470.0,53.6,0.0,0.0,0.0,121.0,0.38,0.0,514.0,9.3,5.1,11.3,0.0,134.0,0.0,79.0,79.0,9.1,0.0,0.0,40.0,5.1,260.0,560.0,14.1,450.0,0.45,14.1,240.0,51.0,0.0,0.4,27.0,450.0,1.52,1.52,0.3,61.0,6.3,4.5,4.5,45.0,2.3,5.1
"Infant formula, MEAD JOHNSON, ENFAMIL, PROSOBEE, with iron, powder, not reconstituted, with ARA and DHA",-148.3773,26,65,40.0,-148.3773,-160.605,-139.5745,0.32,2.4,1.05,5.9,0.04,1.0,9.2,4.1,0.38,0.0,0.04,0.173,0.0,0.0,0.0,0.086,0.0,0.04,0.43,0.0,0.0,530.0,54.6,0.0,0.0,0.0,122.0,0.38,0.0,512.0,9.3,5.1,11.3,0.0,138.0,0.0,81.0,81.0,9.5,0.0,0.0,41.0,5.1,350.0,610.0,12.7,460.0,0.46,14.2,183.0,53.0,0.0,0.41,27.0,460.0,1.53,1.53,0.31,61.0,7.8,4.6,4.6,46.0,2.6,6.1
"Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed",-31.3941,26,65,40.0,-31.3941,,-31.0716,0.349,0.013,0.009,0.26,0.004,0.122,1.921,0.975,0.092,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.0,93.0,11.15,0.0,0.0,2.0,29.0,0.095,0.0,99.0,1.936,1.068,1.256,0.0,60.0,0.0,35.0,36.0,1.34,0.0,0.0,19.0,1.614,76.0,125.0,2.86,74.0,0.201,2.2,36.0,10.5,0.0,0.258,4.77,74.0,0.57,0.57,0.248,9.5,1.2,1.46,1.46,3.6,80.47,1.15
"Infant formula, NESTLE, GOOD START SOY, with ARA and DHA, powder",-153.7462,26,65,40.0,-153.7462,-146.0264,-139.2194,0.302,2.4,1.0,5.8,0.05,1.0,7.9,4.7,0.5,0.0,0.04,0.175,0.0,0.01,0.0,0.09,0.0,0.03,0.4,0.0,0.0,526.0,55.6,0.0,0.0,6.0,120.0,0.401,0.0,503.0,8.1,6.0,11.0,0.0,136.0,0.0,80.0,80.0,9.0,0.0,0.0,55.0,6.764,316.0,581.0,12.5,451.0,0.471,15.0,200.0,44.38,0.0,0.301,25.6,451.0,1.5,1.5,0.301,60.1,7.5,7.34,7.34,45.1,2.5,4.51
"Infant formula, ABBOTT NUTRITION, SIMILAC, ALIMENTUM, ADVANCE, ready-to-feed, with ARA and DHA",-17.649,26,65,40.0,-17.649,-17.4423,-17.5388,0.689,0.023,0.007,0.137,0.003,0.052,0.287,1.055,0.059,0.0,0.003,0.018,0.0,0.0,0.0,0.011,0.0,0.0,0.931,0.0,0.0,69.0,6.77,0.0,0.0,1.0,8.0,0.049,0.0,67.0,0.294,1.126,1.838,0.0,17.0,0.0,10.0,10.0,1.18,0.0,0.0,5.0,0.885,49.0,77.0,1.8,59.0,0.059,1.2,29.0,4.4,0.0,0.039,3.63,59.0,0.3,0.3,0.039,5.9,0.7,1.32,1.32,9.8,87.32,0.49
"Infant formula, MEAD JOHNSON, ENFAMIL, AR, powder, with ARA and DHA",-144.5617,26,65,40.0,-144.5617,-149.0644,-149.9393,0.3,2.2,0.98,5.5,0.04,0.93,8.5,3.5,0.35,0.0,0.04,0.169,0.0,0.0,0.0,0.085,0.0,0.04,0.4,0.0,0.0,390.0,57.4,0.0,0.0,1.0,119.0,0.382,0.0,504.0,8.6,4.7,10.5,0.0,136.0,0.0,80.0,80.0,9.16,0.0,0.0,40.0,5.088,260.0,540.0,12.4,450.0,0.713,13.9,200.0,56.03,0.0,0.408,25.0,450.0,1.53,1.53,0.306,60.0,7.5,4.5,4.5,45.0,2.2,5.09
"Infant formula, ABBOTT NUTRITION, SIMILAC NEOSURE, ready-to-feed, with ARA and DHA",-34.9632,26,65,40.0,-34.9632,-36.3568,-33.3767,0.576,0.333,0.144,0.232,0.0,0.11,0.387,0.729,0.081,0.0,0.0,0.022,0.0,0.0,0.0,0.012,0.0,0.013,1.039,0.0,0.0,72.0,6.94,0.0,0.0,2.0,11.0,0.082,0.0,69.0,0.387,0.844,2.447,0.0,29.0,0.0,17.0,17.0,1.23,0.0,0.0,6.0,1.336,42.0,97.0,1.92,94.0,0.102,1.6,23.0,6.9,0.0,0.151,3.77,94.0,0.27,0.27,0.068,10.3,1.2,1.11,1.11,7.5,87.0,0.82
"Infant formula, ABBOTT NUTRITION, SIMILAC, SENSITIVE, (LACTOSE FREE), powder, with ARA and DHA",-132.7394,26,65,40.0,-132.7394,,-141.7926,4.312,2.491,1.079,1.735,0.0,0.82,2.894,5.457,0.605,0.0,0.0,0.13,0.0,0.0,0.0,0.079,0.0,0.093,7.774,0.0,0.0,436.0,55.67,0.0,0.0,15.0,120.0,0.451,0.0,520.0,2.894,6.27,18.305,0.0,128.0,0.0,75.0,75.0,9.33,0.0,0.0,30.0,5.462,293.0,557.0,11.13,468.0,0.782,9.0,158.0,55.67,0.0,0.519,28.14,468.0,1.28,1.28,0.316,45.1,9.2,7.07,7.07,41.4,2.2,3.91
"Infant formula, ABBOTT NUTRITION, SIMILAC, ADVANCE, with iron, powder, not reconstituted",-139.4774,26,65,40.0,-139.4774,,-142.3286,0.626,3.876,1.459,2.056,0.019,0.916,10.419,5.778,0.618,0.0,0.054,0.187,0.0,0.0,0.0,0.096,0.0,0.059,0.879,0.0,0.0,410.0,54.73,0.0,0.0,14.0,120.0,0.473,0.0,522.0,10.491,6.396,9.873,0.0,134.0,0.0,79.0,79.0,9.47,0.0,0.0,32.0,5.522,221.0,552.0,10.89,473.0,0.789,11.6,126.0,54.73,0.0,0.526,28.87,473.0,1.32,1.32,0.316,47.3,7.9,5.29,5.29,42.1,2.25,3.94
"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, ADVANCE with iron, powder, not reconstituted",-140.5874,26,65,40.0,-140.5874,,-130.7435,0.487,3.541,1.389,2.064,0.019,0.913,10.701,5.91,0.674,0.0,0.059,0.187,0.0,0.0,0.0,0.096,0.0,0.067,0.707,0.0,0.0,540.0,53.57,0.0,0.0,0.0,120.0,0.386,0.0,517.0,10.778,6.584,9.167,0.0,131.0,0.0,77.0,77.0,9.26,0.0,0.0,39.0,6.943,386.0,555.0,12.6,462.0,0.463,10.8,226.0,52.97,0.0,0.309,28.09,462.0,2.31,2.31,0.309,46.3,7.7,5.1,5.1,56.6,2.5,3.86
"Infant Formula, MEAD JOHNSON, ENFAMIL, ENFACARE, ready-to-feed, with ARA and DHA",-36.7644,26,65,40.0,-36.7644,-40.0568,-39.6822,0.24,0.27,0.11,0.228,0.0,0.121,1.29,0.673,0.062,0.0,0.0,0.024,0.0,0.0,0.0,0.012,0.0,0.01,0.585,0.0,0.0,86.0,7.73,0.0,0.0,1.0,17.3,0.065,0.0,73.0,1.33,0.862,1.578,0.0,32.0,0.0,19.0,19.0,1.28,0.0,0.0,6.0,0.72,48.0,76.0,2.0,97.0,0.144,2.0,27.0,7.4,0.0,0.13,3.8,97.0,0.22,0.22,0.048,11.5,1.4,1.32,1.32,6.5,86.0,0.72
"Babyfood, fortified cereal bar, fruit filling",37.5387,26,65,40.0,37.5387,,,0.001,0.001,0.004,0.288,0.012,0.11,3.032,1.083,0.458,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,1053.0,68.63,0.0,166.0,1.0,13.9,0.082,0.0,344.0,3.107,1.541,0.453,1.7,98.0,17.0,65.0,48.0,13.16,33.0,0.0,19.0,11.842,247.0,180.0,5.43,0.0,1.053,14.1,157.0,42.0,0.0,0.921,5.3,14.0,0.19,0.0,1.105,2.4,0.0,0.9,0.02,4.1,14.0,0.59
"Toddler formula, MEAD JOHNSON, ENFAGROW, Toddler Transitions, with ARA and DHA, powder",-143.329,26,65,40.0,-143.329,-154.188,-139.6203,0.31,2.3,1.01,5.7,0.04,0.96,8.8,4.0,0.38,0.138,0.04,0.169,0.0,0.0,0.0,0.084,0.0,0.04,0.42,0.0,0.0,970.0,52.8,0.0,0.0,7.0,119.0,0.37,0.0,505.0,8.9,4.9,10.9,0.0,134.0,0.0,79.0,79.0,7.4,0.0,0.0,40.0,5.0,650.0,650.0,12.9,450.0,0.7,13.9,179.0,53.0,0.0,0.4,26.9,450.0,1.49,1.49,0.3,60.0,7.5,4.5,4.5,45.0,2.4,5.0
"Infant Formula, MEAD JOHNSON, ENFAMIL, GENTLEASE, with ARA and DHA powder not reconstituted",-145.5653,26,65,40.0,-145.5653,-143.3525,-143.471,0.32,2.469,1.05,5.9,0.04,1.08,9.2,4.4,0.37,0.0,0.077,0.171,0.0,0.0,0.0,0.086,0.0,0.04,0.43,0.0,0.0,420.0,56.5,0.0,0.0,17.0,122.0,0.38,0.0,516.0,9.5,5.1,11.3,0.0,139.0,0.0,82.0,82.0,9.2,0.0,0.0,41.0,5.1,230.0,550.0,11.7,460.0,0.71,14.3,185.0,56.0,0.0,0.41,27.0,460.0,1.53,1.54,0.31,61.0,7.8,4.64,4.6,46.0,1.7,5.1
"Infant formula, ABBOTT NUTRITION, SIMILAC, Expert Care, Diarrhea, ready- to- feed with ARA and DHA",-18.5837,26,65,40.0,-18.5837,-20.3915,-17.4078,0.039,0.318,0.145,0.762,0.009,0.145,1.284,0.598,0.058,0.0,0.0,0.019,0.0,0.0,0.0,0.009,0.0,0.009,0.058,0.0,0.0,69.0,6.67,0.0,0.0,0.0,7.9,0.049,0.0,66.0,1.293,0.685,1.477,0.7,17.0,0.0,10.0,10.0,1.18,0.0,0.0,5.0,0.885,49.0,71.0,1.76,60.0,0.059,1.2,29.0,6.66,0.0,0.039,3.6,60.0,0.3,0.3,0.039,5.9,1.0,0.44,0.44,7.2,87.78,0.49
"Babyfood, Multigrain whole grain cereal, dry fortified",-33.3277,26,65,40.0,-33.3277,,-32.0115,0.0,0.008,0.011,0.912,0.019,0.126,1.272,2.364,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,80.06,0.0,0.0,0.0,27.1,0.225,0.0,407.0,1.291,2.596,1.058,6.7,264.0,27.0,167.0,139.0,30.0,64.0,0.0,95.0,15.0,333.0,467.0,6.67,0.0,1.33,31.7,33.0,26.67,0.0,1.166,6.67,0.0,0.8,0.8,1.166,58.3,0.0,4.22,3.58,7.0,4.58,10.67
"Babyfood, Baby MUM MUM Rice Biscuits",53.4829,26,65,40.0,53.4829,58.8307,51.861,0.001,0.006,0.007,0.2,0.004,0.021,0.22,0.206,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,83.21,0.0,0.0,0.0,21.3,0.156,0.0,391.0,0.224,0.255,0.238,0.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,47.0,2.896,127.0,504.0,12.5,0.0,0.037,8.0,313.0,12.5,0.0,0.174,0.87,0.0,0.0,0.0,0.571,0.0,0.0,0.17,0.0,0.0,2.42,0.65
"Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack",49.1109,26,65,40.0,49.1109,49.1683,50.3053,0.072,0.065,0.401,2.608,0.165,0.969,14.194,6.344,1.354,0.0,0.265,0.0,0.0,0.0,0.0,0.0,0.126,0.064,0.034,0.0,0.0,285.0,61.59,43.0,75.0,13.0,16.6,0.16,0.0,503.0,14.682,7.698,4.669,0.0,19.0,19.0,19.0,0.0,6.4,914.0,0.0,69.0,1.291,1044.0,214.0,0.0,31.0,0.099,12.1,500.0,0.0,0.0,0.169,28.57,39.0,0.1,0.0,0.258,0.0,0.1,8.57,8.32,9.8,2.6,3.57
"Infant formula, ABBOTT NUTRITION, SIMILAC, For Spit Up, powder, with ARA and DHA",-135.8696,26,65,40.0,-135.8696,-125.8592,,4.246,2.452,1.063,1.708,0.0,0.808,2.849,5.373,0.595,0.0,0.0,0.164,0.0,0.0,0.0,0.085,0.0,0.092,7.655,0.0,0.0,432.0,55.0,0.0,0.0,0.0,120.0,0.463,0.0,514.0,2.849,6.218,18.025,0.0,131.0,0.0,77.0,77.0,9.3,0.0,0.0,31.0,5.396,288.0,550.0,11.0,467.0,0.771,9.3,154.0,55.0,0.0,0.514,27.75,467.0,1.28,1.28,0.308,46.0,7.7,6.93,6.93,41.0,3.0,3.83
"Fat, beef tallow",219.5195,26,65,40.0,219.5195,225.2863,203.5529,0.0,0.9,3.7,24.9,4.2,18.9,36.0,3.1,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,79.8,0.0,0.0,902.0,41.8,4.0,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.7,2.7,0.0,0.0,0.0,0.0
Lard,211.6123,26,65,40.0,211.6123,204.8549,194.5983,0.1,0.2,1.3,23.8,2.7,13.5,41.2,10.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,49.7,0.0,0.0,902.0,45.1,11.2,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.0,0.0,0.11
"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing",8.5064,26,65,40.0,8.5064,,8.3538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.8,0.0,30.0,0.0,9.0,0.019,0.0,64.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,0.1,27.0,0.0,2.0,0.01,27.0,50.0,0.2,0.0,0.0,2.6,750.0,6.8,0.0,0.008,0.0,2.0,0.0,0.0,0.002,0.0,0.0,2.19,0.0,0.0,81.8,0.07
"Salad dressing, russian dressing",49.053,26,65,40.0,49.053,,50.3007,0.0,0.002,0.021,1.731,0.053,0.636,5.824,13.089,1.741,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,31.9,2.0,320.0,0.0,4.6,0.058,49.0,355.0,5.928,14.83,2.39,0.7,5.0,5.0,5.0,0.0,0.6,173.0,3576.0,10.0,0.594,20.0,173.0,0.69,0.0,0.046,1.6,1133.0,17.68,0.0,0.029,26.18,29.0,0.0,0.0,0.097,6.0,0.0,3.32,0.0,53.7,38.53,0.22
"Salad dressing, sesame seed dressing, regular",83.9657,26,65,40.0,83.9657,88.166,,0.0,0.0,0.0,4.2,0.0,1.9,11.9,23.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.6,0.0,21.0,0.0,4.0,0.0,2.0,443.0,11.9,25.1,6.2,1.0,0.0,0.0,0.0,0.0,0.6,0.0,16.0,0.0,0.0,37.0,157.0,3.1,0.0,0.0,1.6,1000.0,8.32,0.0,0.0,45.2,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,56.0,39.2,0.1
"Salad dressing, thousand island, commercial, regular",66.3345,26,65,40.0,66.3345,60.5642,70.882,0.0,0.0,0.0,3.516,0.0,1.341,7.727,15.869,2.351,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.64,2.0,92.0,26.0,4.6,0.0,52.0,379.0,7.881,18.22,5.092,0.8,0.0,0.0,0.0,0.0,1.18,29.0,2597.0,8.0,0.418,27.0,107.0,1.09,4.0,0.058,1.5,962.0,15.18,0.0,1.445,35.06,14.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,69.1,46.51,0.26
"Salad dressing, mayonnaise type, regular, with salt",48.3648,26,65,40.0,48.3648,,46.4158,0.0,0.0,0.018,2.202,0.025,0.986,4.917,10.739,1.422,0.0,0.067,0.018,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.78,0.0,6.0,19.0,14.6,0.015,4.0,250.0,5.053,12.187,3.396,0.0,6.0,6.0,6.0,0.0,0.12,28.0,0.0,2.0,0.004,13.0,36.0,0.65,5.0,0.03,0.4,653.0,10.02,0.0,0.01,21.6,5.0,0.04,0.0,0.009,0.0,0.0,1.55,0.0,42.2,61.22,0.07
"Salad dressing, french dressing, reduced fat",26.6066,26,65,40.0,26.6066,27.7595,27.5287,0.0,0.0,0.0,0.611,0.0,0.231,4.407,2.956,0.896,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,31.22,0.0,289.0,0.0,4.0,0.16,70.0,222.0,4.518,3.852,0.842,1.5,2.0,2.0,2.0,0.0,0.73,124.0,2530.0,8.0,0.467,16.0,107.0,0.58,0.0,0.052,1.6,838.0,16.86,0.0,0.024,11.52,27.0,0.0,0.0,0.055,4.8,0.0,1.0,0.0,17.8,54.28,0.2
"Salad dressing, italian dressing, commercial, reduced fat",16.0368,26,65,40.0,16.0368,16.0697,16.0825,0.0,0.0,0.005,0.559,0.007,0.215,1.68,2.775,0.458,0.0,0.034,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.99,0.0,7.0,0.0,3.3,0.019,0.0,102.0,1.725,3.236,0.833,0.0,3.0,3.0,3.0,0.0,0.25,0.0,0.0,4.0,0.094,12.0,90.0,0.39,0.0,0.008,1.6,891.0,9.16,0.0,0.012,6.68,1.0,0.0,0.0,0.055,0.0,0.0,4.28,0.0,12.5,80.11,0.06
"Salad dressing, thousand island dressing, reduced fat",29.457,26,65,40.0,29.457,30.2496,31.4212,0.0,0.0,0.0,0.524,0.0,0.223,6.285,1.955,0.737,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,24.06,0.0,154.0,11.0,16.0,0.0,65.0,195.0,6.468,2.692,0.746,1.2,0.0,0.0,0.0,0.0,0.9,100.0,3097.0,7.0,0.437,14.0,202.0,0.83,0.0,0.043,0.0,955.0,17.31,0.0,0.049,11.32,16.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,27.6,60.73,0.19
"Salad dressing, mayonnaise, regular",129.7148,26,65,40.0,129.7148,141.0446,117.6696,0.0,0.0,0.055,7.909,0.088,3.099,16.455,39.146,5.456,0.0,0.238,0.05,0.0,0.022,0.0,0.005,0.0,0.0,0.0,0.0,0.0,8.0,0.57,0.0,6.0,42.0,34.2,0.019,4.0,680.0,16.843,44.69,11.703,0.0,5.0,5.0,5.0,0.0,0.21,12.0,0.0,1.0,0.0,21.0,20.0,0.96,15.0,0.019,2.3,635.0,0.57,0.0,0.01,74.85,16.0,0.12,0.0,0.008,0.0,0.2,3.28,0.0,163.0,21.65,0.15
"Salad dressing, mayonnaise, imitation, soybean",48.1201,26,65,40.0,48.1201,48.9224,52.832,0.0,0.0,0.0,2.4,0.0,0.9,4.5,9.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,24.0,14.6,0.01,0.0,232.0,4.5,10.6,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.3,0.0,0.0,1.6,497.0,6.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,42.2,62.7,0.11
